GRASP V.7.05    Instrument:  ORNL_cg2 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Looking for peaks san scan 
Start: **-**-**  **-**-**   End: **-**-**  **-**-** 
  
Foreground: Sum 0001:0021 , Loaded: 0001:0021 
Background: No Background Subtraction 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 6e-07 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
  
Beam Centre1 :  Cx = 93  Cy = 122       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 1 +/- 0  Te = 1 +/- 0 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Applying CG2 tube correction 
Applying Default Instrument Mask 
Applying User Defined Mask 
Intensity units are:  Counts \\ Std mon  
  
***** Analysis ***** 
Averaging I vs. Azimuth.  Bin size:  3 [Degree(s)] 
 
 
Az_Angle   	I       	Err_I   
 
 
1.2812	207.972	6.43257
4.51445	202.481	6.86205
7.50038	190.225	6.63876
10.4983	179.346	6.44082
13.5109	198.478	6.76142
16.5066	212.621	7.03182
19.4942	249.153	7.58225
22.489	230.638	7.31351
25.4905	219.752	7.11133
28.5003	204.59	6.87957
31.5025	203.881	6.87081
34.4947	200.144	6.79845
37.4972	195.421	6.7158
40.5044	192.775	6.67145
43.4993	191.037	6.63475
46.5046	197.563	6.75395
49.5175	210.355	6.95714
52.4989	207.675	6.98281
55.487	222.475	7.13327
58.498	234.605	7.36253
61.4915	217.578	7.09667
64.4999	215.464	7.04656
67.4985	201.56	6.8274
70.5144	218.349	7.06996
73.5056	223.459	7.23544
76.5046	209.637	6.92262
79.5096	235.613	7.42709
82.4998	243.753	7.49786
85.4952	263.495	7.79964
88.321	269.583	8.43631
91.3364	257.352	7.35179
94.5048	250.387	7.60939
97.5002	239.551	7.42429
100.49	230.387	7.34229
103.495	232.987	7.30169
106.494	220.753	7.18514
109.486	227.63	7.21825
112.501	224.679	7.21144
115.5	228.776	7.25819
118.509	240.981	7.46125
121.502	238.13	7.43368
124.513	241.719	7.43842
127.501	226.507	7.29983
130.483	241.729	7.4706
133.487	224.652	7.22174
136.492	236.682	7.38831
139.496	228.189	7.28349
142.503	233.916	7.363
145.505	235.93	7.40073
148.497	231.632	7.33044
151.5	245.744	7.51261
154.509	228.851	7.24916
157.511	207.913	6.96027
160.506	193.807	6.69169
163.493	187.535	6.61323
166.489	187.397	6.58426
169.502	197.418	6.75675
172.5	199.544	6.78957
175.486	222.769	7.22818
178.237	215.907	7.77915
181.281	230.42	6.73096
184.514	218.058	7.14272
187.5	209.398	6.96312
190.498	209.641	6.96014
193.511	211.803	6.99379
196.507	225.449	7.24698
199.494	242.977	7.49131
202.489	265.197	7.83285
205.491	263.603	7.78576
208.5	233.841	7.36061
211.503	221.762	7.16916
214.495	215.614	7.06615
217.497	203.547	6.8481
220.504	202.397	6.83198
223.499	196.145	6.72023
226.505	195.655	6.72799
229.517	216.316	7.06696
232.499	202.001	6.8894
235.487	209.535	6.92252
238.498	226.426	7.24546
241.491	217.944	7.12414
244.5	206.625	6.89388
247.499	217.653	7.09159
250.514	215.378	7.02135
253.506	203.533	6.89814
256.505	218.743	7.05339
259.51	237.32	7.45529
262.5	237.824	7.41361
265.495	259.451	7.74075
268.321	259.259	8.22877
271.336	265.201	7.4383
274.505	234.916	7.3688
277.5	221.494	7.13846
280.49	235.11	7.43355
283.495	218.72	7.06008
286.494	221.737	7.20591
289.486	219.665	7.09423
292.501	218.854	7.12736
295.5	215.13	7.04311
298.509	217.885	7.12605
301.502	231.611	7.30391
304.513	225.506	7.19049
307.501	234.791	7.41883
310.483	236.919	7.40315
313.487	242.792	7.49601
316.492	237.433	7.38647
319.496	234.592	7.35449
322.503	234.777	7.36467
325.505	237.803	7.42686
328.497	221.772	7.15797
331.5	231.604	7.30411
334.509	213.516	6.99305
337.511	206.653	6.91758
340.506	190.992	6.62953
343.493	178.412	6.43555
346.489	182.912	6.52764
349.502	194.549	6.69733
352.5	196.844	6.7646
355.486	194.022	6.7473
358.237	202.598	7.54632
